granule_id,product_id,datatake_identifier,mgrs_tile,sensing_time,geometric_quality_flag,generation_time,north_lat,south_lat,west_lon,east_lon,base_url,total_size,cloud_cover
L1C_T53HPA_A009995_20190204T005513,S2B_MSIL1C_20190204T004709_N0207_R102_T53HPA_20190204T020630,GS2B_20190204T004709_009995_N02.07,53HPA,2019-02-04 00:57:05+00:00,,2019-02-04T02:06:30.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2B_MSIL1C_20190204T004709_N0207_R102_T53HPA_20190204T020630.SAFE,770456919,24.8295
L1C_T53HPA_A018975_20190209T004703,S2A_MSIL1C_20190209T004701_N0207_R102_T53HPA_20190209T021458,GS2A_20190209T004701_018975_N02.07,53HPA,2019-02-09 00:57:02+00:00,,2019-02-09T02:14:58.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2A_MSIL1C_20190209T004701_N0207_R102_T53HPA_20190209T021458.SAFE,824995328,50.5648
L1C_T53HPA_A010138_20190214T005415,S2B_MSIL1C_20190214T004709_N0207_R102_T53HPA_20190214T020753,GS2B_20190214T004709_010138_N02.07,53HPA,2019-02-14 00:57:05+00:00,,2019-02-14T02:07:53.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2B_MSIL1C_20190214T004709_N0207_R102_T53HPA_20190214T020753.SAFE,730486990,73.2918
L1C_T53HPA_A019118_20190219T004607,S2A_MSIL1C_20190219T004611_N0207_R102_T53HPA_20190219T022111,GS2A_20190219T004611_019118_N02.07,53HPA,2019-02-19 00:57:01+00:00,,2019-02-19T02:21:11.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2A_MSIL1C_20190219T004611_N0207_R102_T53HPA_20190219T022111.SAFE,820830027,44.3054
L1C_T53HPA_A010281_20190224T005306,S2B_MSIL1C_20190224T004709_N0207_R102_T53HPA_20190224T020938,GS2B_20190224T004709_010281_N02.07,53HPA,2019-02-24 00:57:04+00:00,,2019-02-24T02:09:38.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2B_MSIL1C_20190224T004709_N0207_R102_T53HPA_20190224T020938.SAFE,582623120,0.0
L1C_T53HPA_A019261_20190301T004701,S2A_MSIL1C_20190301T004701_N0207_R102_T53HPA_20190301T021648,GS2A_20190301T004701_019261_N02.07,53HPA,2019-03-01 00:57:00+00:00,,2019-03-01T02:16:48.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2A_MSIL1C_20190301T004701_N0207_R102_T53HPA_20190301T021648.SAFE,603497436,0.0
L1C_T53HPA_A010424_20190306T005257,S2B_MSIL1C_20190306T004709_N0207_R102_T53HPA_20190306T020958,GS2B_20190306T004709_010424_N02.07,53HPA,2019-03-06 00:57:02+00:00,,2019-03-06T02:09:58.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2B_MSIL1C_20190306T004709_N0207_R102_T53HPA_20190306T020958.SAFE,803521656,42.5567
L1C_T53HPA_A019404_20190311T004701,S2A_MSIL1C_20190311T004701_N0207_R102_T53HPA_20190311T022013,GS2A_20190311T004701_019404_N02.07,53HPA,2019-03-11 00:57:00+00:00,,2019-03-11T02:20:13.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2A_MSIL1C_20190311T004701_N0207_R102_T53HPA_20190311T022013.SAFE,843716120,65.6458
L1C_T53HPA_A010567_20190316T005258,S2B_MSIL1C_20190316T004709_N0207_R102_T53HPA_20190316T021019,GS2B_20190316T004709_010567_N02.07,53HPA,2019-03-16 00:57:03+00:00,,2019-03-16T02:10:19.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2B_MSIL1C_20190316T004709_N0207_R102_T53HPA_20190316T021019.SAFE,618264755,5.644
L1C_T53HPA_A010710_20190326T005301,S2B_MSIL1C_20190326T004709_N0207_R102_T53HPA_20190326T021016,GS2B_20190326T004709_010710_N02.07,53HPA,2019-03-26 00:57:06+00:00,,2019-03-26T02:10:16.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2B_MSIL1C_20190326T004709_N0207_R102_T53HPA_20190326T021016.SAFE,694006540,11.1209
L1C_T53HPA_A010853_20190405T005303,S2B_MSIL1C_20190405T004709_N0207_R102_T53HPA_20190405T021024,GS2B_20190405T004709_010853_N02.07,53HPA,2019-04-05 00:57:08+00:00,,2019-04-05T02:10:24.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2B_MSIL1C_20190405T004709_N0207_R102_T53HPA_20190405T021024.SAFE,693413843,60.4142
L1C_T53HPA_A019833_20190410T004708,S2A_MSIL1C_20190410T004711_N0207_R102_T53HPA_20190410T022320,GS2A_20190410T004711_019833_N02.07,53HPA,2019-04-10 00:57:07+00:00,,2019-04-10T02:23:20.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2A_MSIL1C_20190410T004711_N0207_R102_T53HPA_20190410T022320.SAFE,699513095,28.6561
L1C_T53HPA_A011139_20190425T005307,S2B_MSIL1C_20190425T004719_N0207_R102_T53HPA_20190425T021024,GS2B_20190425T004719_011139_N02.07,53HPA,2019-04-25 00:57:12+00:00,,2019-04-25T02:10:24.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2B_MSIL1C_20190425T004719_N0207_R102_T53HPA_20190425T021024.SAFE,794158189,36.6814
L1C_T53HPA_A020262_20190510T004710,S2A_MSIL1C_20190510T004711_N0207_R102_T53HPA_20190510T022534,GS2A_20190510T004711_020262_N02.07,53HPA,2019-05-10 00:57:09+00:00,,2019-05-10T02:25:34.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2A_MSIL1C_20190510T004711_N0207_R102_T53HPA_20190510T022534.SAFE,753027630,18.4564
L1C_T53HPA_A011425_20190515T005308,S2B_MSIL1C_20190515T004719_N0207_R102_T53HPA_20190515T021042,GS2B_20190515T004719_011425_N02.07,53HPA,2019-05-15 00:57:13+00:00,,2019-05-15T02:10:42.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2B_MSIL1C_20190515T004719_N0207_R102_T53HPA_20190515T021042.SAFE,662184866,1.8082
L1C_T53HPA_A020405_20190520T004710,S2A_MSIL1C_20190520T004711_N0207_R102_T53HPA_20190520T021818,GS2A_20190520T004711_020405_N02.07,53HPA,2019-05-20 00:57:08+00:00,,2019-05-20T02:18:18.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2A_MSIL1C_20190520T004711_N0207_R102_T53HPA_20190520T021818.SAFE,722855354,15.2806
L1C_T53HPA_A011568_20190525T005308,S2B_MSIL1C_20190525T004719_N0207_R102_T53HPA_20190525T021037,GS2B_20190525T004719_011568_N02.07,53HPA,2019-05-25 00:57:13+00:00,,2019-05-25T02:10:37.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2B_MSIL1C_20190525T004719_N0207_R102_T53HPA_20190525T021037.SAFE,765846201,35.6284
L1C_T53HPA_A020548_20190530T004709,S2A_MSIL1C_20190530T004711_N0207_R102_T53HPA_20190530T022148,GS2A_20190530T004711_020548_N02.07,53HPA,2019-05-30 00:57:08+00:00,,2019-05-30T02:21:48.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2A_MSIL1C_20190530T004711_N0207_R102_T53HPA_20190530T022148.SAFE,807515906,54.8844
L1C_T53HPA_A011711_20190604T005308,S2B_MSIL1C_20190604T004719_N0207_R102_T53HPA_20190604T021032,GS2B_20190604T004719_011711_N02.07,53HPA,2019-06-04 00:57:13+00:00,,2019-06-04T02:10:32.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2B_MSIL1C_20190604T004719_N0207_R102_T53HPA_20190604T021032.SAFE,783921277,49.8932
L1C_T53HPA_A011854_20190614T005307,S2B_MSIL1C_20190614T004719_N0207_R102_T53HPA_20190614T020946,GS2B_20190614T004719_011854_N02.07,53HPA,2019-06-14 00:57:12+00:00,,2019-06-14T02:09:46.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2B_MSIL1C_20190614T004719_N0207_R102_T53HPA_20190614T020946.SAFE,721224205,27.7858
L1C_T53HPA_A020834_20190619T004710,S2A_MSIL1C_20190619T004711_N0207_R102_T53HPA_20190619T022103,GS2A_20190619T004711_020834_N02.07,53HPA,2019-06-19 00:57:09+00:00,,2019-06-19T02:21:03.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2A_MSIL1C_20190619T004711_N0207_R102_T53HPA_20190619T022103.SAFE,685467669,9.8996
L1C_T53HPA_A012140_20190704T005309,S2B_MSIL1C_20190704T004719_N0207_R102_T53HPA_20190704T021045,GS2B_20190704T004719_012140_N02.07,53HPA,2019-07-04 00:57:14+00:00,,2019-07-04T02:10:45.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2B_MSIL1C_20190704T004719_N0207_R102_T53HPA_20190704T021045.SAFE,798856694,67.5499
L1C_T53HPA_A021120_20190709T004711,S2A_MSIL1C_20190709T004711_N0208_R102_T53HPA_20190709T021836,GS2A_20190709T004711_021120_N02.08,53HPA,2019-07-09 00:57:10+00:00,,2019-07-09T02:18:36.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2A_MSIL1C_20190709T004711_N0208_R102_T53HPA_20190709T021836.SAFE,722713159,22.9845
L1C_T53HPA_A012283_20190714T005309,S2B_MSIL1C_20190714T004719_N0208_R102_T53HPA_20190714T021011,GS2B_20190714T004719_012283_N02.08,53HPA,2019-07-14 00:57:14+00:00,,2019-07-14T02:10:11.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2B_MSIL1C_20190714T004719_N0208_R102_T53HPA_20190714T021011.SAFE,787558395,66.7767
L1C_T53HPA_A021263_20190719T004711,S2A_MSIL1C_20190719T004711_N0208_R102_T53HPA_20190719T021815,GS2A_20190719T004711_021263_N02.08,53HPA,2019-07-19 00:57:10.553000+00:00,,2019-07-19T02:18:15.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2A_MSIL1C_20190719T004711_N0208_R102_T53HPA_20190719T021815.SAFE,699090011,8.035
L1C_T53HPA_A012426_20190724T005308,S2B_MSIL1C_20190724T004719_N0208_R102_T53HPA_20190724T021037,GS2B_20190724T004719_012426_N02.08,53HPA,2019-07-24 00:57:13.853000+00:00,,2019-07-24T02:10:37.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2B_MSIL1C_20190724T004719_N0208_R102_T53HPA_20190724T021037.SAFE,776308424,29.5523
L1C_T53HPA_A021406_20190729T004711,S2A_MSIL1C_20190729T004711_N0208_R102_T53HPA_20190729T021759,GS2A_20190729T004711_021406_N02.08,53HPA,2019-07-29 00:57:10.171000+00:00,,2019-07-29T02:17:59.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2A_MSIL1C_20190729T004711_N0208_R102_T53HPA_20190729T021759.SAFE,688359438,16.0942
L1C_T53HPA_A012712_20190813T005306,S2B_MSIL1C_20190813T004709_N0208_R102_T53HPA_20190813T021205,GS2B_20190813T004709_012712_N02.08,53HPA,2019-08-13 00:57:12.030000+00:00,,2019-08-13T02:12:05.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2B_MSIL1C_20190813T004709_N0208_R102_T53HPA_20190813T021205.SAFE,678799607,13.3909
L1C_T53HPA_A021692_20190818T004709,S2A_MSIL1C_20190818T004711_N0208_R102_T53HPA_20190818T021956,GS2A_20190818T004711_021692_N02.08,53HPA,2019-08-18 00:57:08.241000+00:00,,2019-08-18T02:19:56.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2A_MSIL1C_20190818T004711_N0208_R102_T53HPA_20190818T021956.SAFE,719807875,65.971
L1C_T53HPA_A012855_20190823T005305,S2B_MSIL1C_20190823T004709_N0208_R102_T53HPA_20190823T021105,GS2B_20190823T004709_012855_N02.08,53HPA,2019-08-23 00:57:10.511000+00:00,,2019-08-23T02:11:05.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2B_MSIL1C_20190823T004709_N0208_R102_T53HPA_20190823T021105.SAFE,662121627,0.0131
L1C_T53HPA_A021978_20190907T004705,S2A_MSIL1C_20190907T004711_N0208_R102_T53HPA_20190907T022106,GS2A_20190907T004711_021978_N02.08,53HPA,2019-09-07 00:57:04.623000+00:00,,2019-09-07T02:21:06.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2A_MSIL1C_20190907T004711_N0208_R102_T53HPA_20190907T022106.SAFE,747387426,40.1594
L1C_T53HPA_A013141_20190912T005301,S2B_MSIL1C_20190912T004709_N0208_R102_T53HPA_20190912T021107,GS2B_20190912T004709_013141_N02.08,53HPA,2019-09-12 00:57:06.202000+00:00,,2019-09-12T02:11:07.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2B_MSIL1C_20190912T004709_N0208_R102_T53HPA_20190912T021107.SAFE,737734412,27.7803
L1C_T53HPA_A022121_20190917T004705,S2A_MSIL1C_20190917T004711_N0208_R102_T53HPA_20190917T022105,GS2A_20190917T004711_022121_N02.08,53HPA,2019-09-17 00:57:04.707000+00:00,,2019-09-17T02:21:05.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2A_MSIL1C_20190917T004711_N0208_R102_T53HPA_20190917T022105.SAFE,703231469,15.9957
L1C_T53HPA_A013284_20190922T005259,S2B_MSIL1C_20190922T004709_N0208_R102_T53HPA_20190922T021033,GS2B_20190922T004709_013284_N02.08,53HPA,2019-09-22 00:57:04.843000+00:00,,2019-09-22T02:10:33.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2B_MSIL1C_20190922T004709_N0208_R102_T53HPA_20190922T021033.SAFE,717173598,53.7001
L1C_T53HPA_A022264_20190927T004707,S2A_MSIL1C_20190927T004711_N0208_R102_T53HPA_20190927T022201,GS2A_20190927T004711_022264_N02.08,53HPA,2019-09-27 00:57:06.471000+00:00,,2019-09-27T02:22:01.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2A_MSIL1C_20190927T004711_N0208_R102_T53HPA_20190927T022201.SAFE,790654212,24.8789
L1C_T53HPA_A013427_20191002T005300,S2B_MSIL1C_20191002T004709_N0208_R102_T53HPA_20191002T021023,GS2B_20191002T004709_013427_N02.08,53HPA,2019-10-02 00:57:05.959000+00:00,,2019-10-02T02:10:23.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2B_MSIL1C_20191002T004709_N0208_R102_T53HPA_20191002T021023.SAFE,799110118,50.2172
L1C_T53HPA_A022407_20191007T004708,S2A_MSIL1C_20191007T004711_N0208_R102_T53HPA_20191007T021913,GS2A_20191007T004711_022407_N02.08,53HPA,2019-10-07 00:57:07.742000+00:00,,2019-10-07T02:19:13.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2A_MSIL1C_20191007T004711_N0208_R102_T53HPA_20191007T021913.SAFE,758511199,66.8818
L1C_T53HPA_A013570_20191012T005301,S2B_MSIL1C_20191012T004709_N0208_R102_T53HPA_20191012T021053,GS2B_20191012T004709_013570_N02.08,53HPA,2019-10-12 00:57:06.510000+00:00,,2019-10-12T02:10:53.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2B_MSIL1C_20191012T004709_N0208_R102_T53HPA_20191012T021053.SAFE,716511999,5.1521
L1C_T53HPA_A022550_20191017T004709,S2A_MSIL1C_20191017T004711_N0208_R102_T53HPA_20191017T021817,GS2A_20191017T004711_022550_N02.08,53HPA,2019-10-17 00:57:08.513000+00:00,,2019-10-17T02:18:17.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2A_MSIL1C_20191017T004711_N0208_R102_T53HPA_20191017T021817.SAFE,833712802,38.494
L1C_T53HPA_A013713_20191022T005326,S2B_MSIL1C_20191022T004709_N0208_R102_T53HPA_20191022T020957,GS2B_20191022T004709_013713_N02.08,53HPA,2019-10-22 00:57:06.508000+00:00,,2019-10-22T02:09:57.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2B_MSIL1C_20191022T004709_N0208_R102_T53HPA_20191022T020957.SAFE,605637875,0.0
L1C_T53HPA_A022693_20191027T004709,S2A_MSIL1C_20191027T004711_N0208_R102_T53HPA_20191027T021855,GS2A_20191027T004711_022693_N02.08,53HPA,2019-10-27 00:57:08.679000+00:00,,2019-10-27T02:18:55.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2A_MSIL1C_20191027T004711_N0208_R102_T53HPA_20191027T021855.SAFE,800627401,26.7869
L1C_T53HPA_A022836_20191106T004843,S2A_MSIL1C_20191106T004711_N0208_R102_T53HPA_20191106T035323,GS2A_20191106T004711_022836_N02.08,53HPA,2019-11-06 00:57:08.215000+00:00,,2019-11-06T03:53:23.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2A_MSIL1C_20191106T004711_N0208_R102_T53HPA_20191106T035323.SAFE,812707504,28.1647
L1C_T53HPA_A013999_20191111T005526,S2B_MSIL1C_20191111T004709_N0208_R102_T53HPA_20191111T020553,GS2B_20191111T004709_013999_N02.08,53HPA,2019-11-11 00:57:04.712000+00:00,,2019-11-11T02:05:53.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2B_MSIL1C_20191111T004709_N0208_R102_T53HPA_20191111T020553.SAFE,722452054,46.5976
L1C_T53HPA_A022979_20191116T004708,S2A_MSIL1C_20191116T004711_N0208_R102_T53HPA_20191116T021550,GS2A_20191116T004711_022979_N02.08,53HPA,2019-11-16 00:57:07.151000+00:00,,2019-11-16T02:15:50.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2A_MSIL1C_20191116T004711_N0208_R102_T53HPA_20191116T021550.SAFE,805374369,57.7984
L1C_T53HPA_A014142_20191121T005611,S2B_MSIL1C_20191121T004709_N0208_R102_T53HPA_20191121T020538,GS2B_20191121T004709_014142_N02.08,53HPA,2019-11-21 00:57:02.847000+00:00,,2019-11-21T02:05:38.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2B_MSIL1C_20191121T004709_N0208_R102_T53HPA_20191121T020538.SAFE,802514071,4.6686
L1C_T53HPA_A023122_20191126T004706,S2A_MSIL1C_20191126T004711_N0208_R102_T53HPA_20191126T021437,GS2A_20191126T004711_023122_N02.08,53HPA,2019-11-26 00:57:05.428000+00:00,,2019-11-26T02:14:37.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2A_MSIL1C_20191126T004711_N0208_R102_T53HPA_20191126T021437.SAFE,813877617,19.4438
L1C_T53HPA_A014285_20191201T005642,S2B_MSIL1C_20191201T004659_N0208_R102_T53HPA_20191201T020337,GS2B_20191201T004659_014285_N02.08,53HPA,2019-12-01 00:57:00.371000+00:00,,2019-12-01T02:03:37.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2B_MSIL1C_20191201T004659_N0208_R102_T53HPA_20191201T020337.SAFE,766103359,54.6215
L1C_T53HPA_A023265_20191206T004704,S2A_MSIL1C_20191206T004701_N0208_R102_T53HPA_20191206T021424,GS2A_20191206T004701_023265_N02.08,53HPA,2019-12-06 00:57:03.039000+00:00,,2019-12-06T02:14:24.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2A_MSIL1C_20191206T004701_N0208_R102_T53HPA_20191206T021424.SAFE,802544439,25.2203
L1C_T53HPA_A014428_20191211T004700,S2B_MSIL1C_20191211T004659_N0208_R102_T53HPA_20191211T020546,GS2B_20191211T004659_014428_N02.08,53HPA,2019-12-11 00:56:59.661000+00:00,,2019-12-11T02:05:46.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2B_MSIL1C_20191211T004659_N0208_R102_T53HPA_20191211T020546.SAFE,764494323,59.4405
L1C_T53HPA_A023408_20191216T004701,S2A_MSIL1C_20191216T004701_N0208_R102_T53HPA_20191216T020938,GS2A_20191216T004701_023408_N02.08,53HPA,2019-12-16 00:57:00.095000+00:00,,2019-12-16T02:09:38.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2A_MSIL1C_20191216T004701_N0208_R102_T53HPA_20191216T020938.SAFE,660238021,0.0
L1C_T53HPA_A014571_20191221T004701,S2B_MSIL1C_20191221T004659_N0208_R102_T53HPA_20191221T020659,GS2B_20191221T004659_014571_N02.08,53HPA,2019-12-21 00:57:00.306000+00:00,,2019-12-21T02:06:59.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2B_MSIL1C_20191221T004659_N0208_R102_T53HPA_20191221T020659.SAFE,738447384,54.242
L1C_T53HPA_A023551_20191226T004700,S2A_MSIL1C_20191226T004701_N0208_R102_T53HPA_20191226T021317,GS2A_20191226T004701_023551_N02.08,53HPA,2019-12-26 00:56:59.837000+00:00,,2019-12-26T02:13:17.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2A_MSIL1C_20191226T004701_N0208_R102_T53HPA_20191226T021317.SAFE,788594777,12.3171
L1C_T53HPA_A014714_20191231T004701,S2B_MSIL1C_20191231T004659_N0208_R102_T53HPA_20191231T020446,GS2B_20191231T004659_014714_N02.08,53HPA,2019-12-31 00:57:00.456000+00:00,,2019-12-31T02:04:46.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2B_MSIL1C_20191231T004659_N0208_R102_T53HPA_20191231T020446.SAFE,784202734,0.5556
L1C_T53HPA_A023694_20200105T004700,S2A_MSIL1C_20200105T004701_N0208_R102_T53HPA_20200105T021459,GS2A_20200105T004701_023694_N02.08,53HPA,2020-01-05 00:56:59.851000+00:00,,2020-01-05T02:14:59.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2A_MSIL1C_20200105T004701_N0208_R102_T53HPA_20200105T021459.SAFE,715077841,61.2913
L1C_T53HPA_A023837_20200115T004700,S2A_MSIL1C_20200115T004701_N0208_R102_T53HPA_20200115T021925,GS2A_20200115T004701_023837_N02.08,53HPA,2020-01-15 00:56:59.493000+00:00,,2020-01-15T02:19:25.000000Z,-35.2210369081,-36.2278069998,136.098930559,137.33371039,gs://gcp-public-data-sentinel-2/tiles/53/H/PA/S2A_MSIL1C_20200115T004701_N0208_R102_T53HPA_20200115T021925.SAFE,749800878,7.8606
